Date;Victim Sex;Total Shootings
27-Mar-08;M;2
28-Mar-08;M;3
29-Mar-08;M;5
30-Mar-08;F;2
30-Mar-08;M;3
31-Mar-08;M;4
01-Apr-08;F;2
01-Apr-08;M;1
02-Apr-08;F;1
02-Apr-08;M;2
03-Apr-08;M;6
05-Apr-08;M;5
06-Apr-08;M;3
07-Apr-08;F;2
07-Apr-08;M;2
08-Apr-08;M;3
09-Apr-08;M;2
10-Apr-08;F;1
10-Apr-08;M;2
11-Apr-08;F;1
11-Apr-08;M;1
12-Apr-08;M;10
13-Apr-08;F;4
13-Apr-08;M;5
14-Apr-08;M;6
15-Apr-08;M;6
17-Apr-08;M;4
18-Apr-08;F;1
18-Apr-08;M;9
19-Apr-08;F;1
19-Apr-08;M;10
20-Apr-08;M;2
21-Apr-08;M;4
22-Apr-08;F;1
22-Apr-08;M;6
23-Apr-08;M;6
24-Apr-08;M;9
25-Apr-08;M;4
26-Apr-08;F;2
26-Apr-08;M;8
27-Apr-08;F;2
27-Apr-08;M;9
29-Apr-08;M;8
30-Apr-08;M;2
01-May-08;M;4
02-May-08;M;4
03-May-08;F;1
03-May-08;M;5
04-May-08;F;2
04-May-08;M;6
05-May-08;M;6
06-May-08;M;3
07-May-08;M;3
08-May-08;M;4
09-May-08;M;4
10-May-08;M;8
11-May-08;M;10
12-May-08;M;1
13-May-08;F;1
13-May-08;M;6
14-May-08;F;1
14-May-08;M;9
15-May-08;M;2
17-May-08;F;2
17-May-08;M;8
18-May-08;F;2
18-May-08;M;12
19-May-08;M;4
20-May-08;M;2
21-May-08;M;3
22-May-08;M;2
23-May-08;M;2
24-May-08;F;6
24-May-08;M;16
25-May-08;M;12
26-May-08;F;1
26-May-08;M;13
27-May-08;M;4
28-May-08;F;4
28-May-08;M;7
29-May-08;F;3
29-May-08;M;2
30-May-08;M;2
31-May-08;F;1
31-May-08;M;6
01-Jun-08;M;8
02-Jun-08;F;3
02-Jun-08;M;11
03-Jun-08;M;2
04-Jun-08;M;8
05-Jun-08;M;3
06-Jun-08;F;1
06-Jun-08;M;8
07-Jun-08;M;9
08-Jun-08;M;3
09-Jun-08;F;1
09-Jun-08;M;9
10-Jun-08;F;1
10-Jun-08;M;5
11-Jun-08;M;5
12-Jun-08;M;2
13-Jun-08;M;2
14-Jun-08;F;1
14-Jun-08;M;7
15-Jun-08;M;4
16-Jun-08;M;1
17-Jun-08;M;2
18-Jun-08;M;5
19-Jun-08;M;5
20-Jun-08;M;3
21-Jun-08;F;1
21-Jun-08;M;10
22-Jun-08;F;1
22-Jun-08;M;10
23-Jun-08;M;2
24-Jun-08;F;1
24-Jun-08;M;13
25-Jun-08;F;3
25-Jun-08;M;10
26-Jun-08;M;7
27-Jun-08;M;6
28-Jun-08;F;3
28-Jun-08;M;12
29-Jun-08;F;1
29-Jun-08;M;6
30-Jun-08;M;2
01-Jul-08;M;3
02-Jul-08;F;2
02-Jul-08;M;7
03-Jul-08;M;4
04-Jul-08;M;10
05-Jul-08;F;4
05-Jul-08;M;13
06-Jul-08;F;3
06-Jul-08;M;10
07-Jul-08;F;1
07-Jul-08;M;5
08-Jul-08;F;1
08-Jul-08;M;8
09-Jul-08;M;2
10-Jul-08;M;7
11-Jul-08;M;6
12-Jul-08;F;1
12-Jul-08;M;11
13-Jul-08;F;3
13-Jul-08;M;10
14-Jul-08;M;1
15-Jul-08;M;5
16-Jul-08;F;2
16-Jul-08;M;5
17-Jul-08;F;2
17-Jul-08;M;6
18-Jul-08;M;6
19-Jul-08;F;3
19-Jul-08;M;8
20-Jul-08;M;4
21-Jul-08;M;6
22-Jul-08;F;2
22-Jul-08;M;5
23-Jul-08;M;1
24-Jul-08;M;5
25-Jul-08;M;5
26-Jul-08;F;1
26-Jul-08;M;14
27-Jul-08;F;1
27-Jul-08;M;13
28-Jul-08;M;6
29-Jul-08;F;1
29-Jul-08;M;16
30-Jul-08;M;3
31-Jul-08;M;2
01-Aug-08;M;4
02-Aug-08;F;1
02-Aug-08;M;6
03-Aug-08;M;8
04-Aug-08;M;14
