Date;Borough;Total Shootings
22 Jun 06;BROOKLYN;4
22 Jun 06;QUEENS;1
23 Jun 06;BRONX;1
23 Jun 06;BROOKLYN;10
24 Jun 06;BRONX;2
24 Jun 06;BROOKLYN;3
24 Jun 06;MANHATTAN;2
25 Jun 06;BROOKLYN;2
25 Jun 06;MANHATTAN;2
26 Jun 06;BRONX;1
26 Jun 06;QUEENS;3
27 Jun 06;BRONX;1
27 Jun 06;BROOKLYN;3
27 Jun 06;MANHATTAN;1
28 Jun 06;BRONX;4
28 Jun 06;BROOKLYN;4
28 Jun 06;MANHATTAN;8
29 Jun 06;QUEENS;2
30 Jun 06;BRONX;1
30 Jun 06;BROOKLYN;4
30 Jun 06;MANHATTAN;1
30 Jun 06;QUEENS;2
01 Jul 06;BRONX;8
01 Jul 06;BROOKLYN;1
02 Jul 06;BRONX;4
02 Jul 06;BROOKLYN;1
02 Jul 06;MANHATTAN;4
02 Jul 06;QUEENS;1
03 Jul 06;BRONX;1
03 Jul 06;BROOKLYN;3
03 Jul 06;QUEENS;1
04 Jul 06;BRONX;2
04 Jul 06;BROOKLYN;3
04 Jul 06;MANHATTAN;1
04 Jul 06;QUEENS;2
05 Jul 06;BRONX;2
05 Jul 06;BROOKLYN;5
05 Jul 06;MANHATTAN;1
06 Jul 06;BROOKLYN;3
06 Jul 06;QUEENS;1
07 Jul 06;BRONX;1
07 Jul 06;BROOKLYN;2
07 Jul 06;QUEENS;2
08 Jul 06;BRONX;2
08 Jul 06;BROOKLYN;5
08 Jul 06;QUEENS;2
08 Jul 06;STATEN ISLAND;1
09 Jul 06;BROOKLYN;6
09 Jul 06;QUEENS;7
10 Jul 06;BRONX;2
10 Jul 06;BROOKLYN;3
10 Jul 06;MANHATTAN;1
11 Jul 06;BRONX;2
11 Jul 06;BROOKLYN;5
11 Jul 06;QUEENS;1
12 Jul 06;BRONX;5
12 Jul 06;QUEENS;1
13 Jul 06;BROOKLYN;1
13 Jul 06;MANHATTAN;1
13 Jul 06;QUEENS;3
14 Jul 06;BROOKLYN;4
14 Jul 06;MANHATTAN;4
15 Jul 06;BRONX;2
15 Jul 06;BROOKLYN;3
15 Jul 06;QUEENS;3
15 Jul 06;STATEN ISLAND;1
16 Jul 06;BROOKLYN;5
16 Jul 06;QUEENS;4
17 Jul 06;MANHATTAN;3
17 Jul 06;QUEENS;2
17 Jul 06;STATEN ISLAND;1
18 Jul 06;BRONX;2
18 Jul 06;BROOKLYN;3
18 Jul 06;MANHATTAN;1
18 Jul 06;QUEENS;1
19 Jul 06;BRONX;3
19 Jul 06;BROOKLYN;2
19 Jul 06;MANHATTAN;2
20 Jul 06;BROOKLYN;1
21 Jul 06;BRONX;1
21 Jul 06;BROOKLYN;4
21 Jul 06;QUEENS;1
22 Jul 06;BRONX;2
22 Jul 06;BROOKLYN;10
22 Jul 06;QUEENS;7
23 Jul 06;BRONX;2
23 Jul 06;BROOKLYN;2
23 Jul 06;MANHATTAN;1
23 Jul 06;QUEENS;1
23 Jul 06;STATEN ISLAND;1
24 Jul 06;BRONX;8
24 Jul 06;BROOKLYN;2
24 Jul 06;STATEN ISLAND;1
25 Jul 06;BRONX;2
25 Jul 06;BROOKLYN;1
26 Jul 06;BROOKLYN;9
27 Jul 06;BRONX;3
27 Jul 06;BROOKLYN;1
27 Jul 06;MANHATTAN;1
28 Jul 06;BROOKLYN;2
28 Jul 06;MANHATTAN;1
28 Jul 06;QUEENS;1
29 Jul 06;BRONX;2
29 Jul 06;BROOKLYN;1
29 Jul 06;QUEENS;1
30 Jul 06;BRONX;8
30 Jul 06;BROOKLYN;9
30 Jul 06;MANHATTAN;2
31 Jul 06;BROOKLYN;1
31 Jul 06;MANHATTAN;1
01 Aug 06;BRONX;5
01 Aug 06;MANHATTAN;4
01 Aug 06;STATEN ISLAND;1
02 Aug 06;BRONX;1
